Demand Difference,h,Period 1,Period 2,Period 3,Period 4,Average,Diff (\%),,,,,
5,1,27.53,10.95,17.52,20.54,19.14,,,24,25,26,27
,2,15.79,11.10,14.32,23.19,16.10,-18.9,,,28,,29
,4,10.78,9.43,13.83,12.13,11.54,-65.8,,,,,30
10,1,27.53,27.69,10.19,24.16,22.39,,,,0,1,2
,2,37.05,77.20,15.78,67.49,49.38,54.6,,,,,
,4,15.01,14.71,8.69,15.06,13.37,-67.5,,,,,
15,1,27.53,19.51,20.10,8.13,18.82,,,,6,7,8
,2,7.28,13.35,14.42,12.38,11.86,-58.7,,,,,
,4,8.78,22.25,9.08,12.11,13.06,-44.1,,,,,
20,1,27.53,8.60,10.24,11.26,14.41,,,,12,13,14
,2,19.77,19.29,15.34,27.73,20.53,29.8,,,,,
,4,37.19,123.04,43.15,19.45,55.71,74.1,,,,,
25,1,27.53,11.05,12.45,11.38,15.60,,,,18,19,20
,2,40.64,17.28,18.39,140.29,54.15,71.2,,,,,
,4,29.02,23.96,15.61,37.71,26.57,41.3,,,,,
,,,,,,,,,,,,
