Demand Difference,h,Period 1,Period 2,Period 3,Period 4,Average,Diff (\%),,,,,
5,,13.3,18.45,15.82,14.29,15.46,,,24,25,26,27
,,11.17,10.2,14.34,15.24,12.74,-21.4,,,28,,29
,,9.91,10.8,12.97,17.6,12.82,-20.6,,,,,30
10,,13.3,31,8.54,24.61,19.36,,,,0,1,2
,,44.74,71.71,11.62,20.58,37.16,47.9,,,,,
,,21.63,36.73,43.27,20.16,30.45,36.4,,,,,
15,,13.3,18.46,14.27,16.65,15.67,,,,6,7,8
,,9.96,10.35,17.3,17.97,13.90,-12.8,,,,,
,,17.97,20.92,14.9,15.74,17.38,9.9,,,,,
20,,13.3,18.17,16.74,12.06,15.07,,,,12,13,14
,,102.2,122.38,11.8,11.74,62.03,75.7,,,,,
,,14.92,24.57,18.06,25.52,20.77,27.4,,,,,
25,,13.3,9.23,10.79,15.63,12.24,,,,18,19,20
,,22.1,34.07,14.33,22.29,23.20,47.3,,,,,
,,12.36,11.93,10.96,13.44,12.17,-0.5,,,,,
